Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Complete,ER Diagram Car Shop Management System,
2,Page,,,,,,,,,,Page 1,
3,Entity,UML,2,,,,,,,,user,
4,Attribute,UML,2,,,,,,,,email,
5,Attribute,UML,2,,,,,,,,id,
6,Attribute,UML,2,,,,,,,,type,
7,Attribute,UML,2,,,,,,,,password,
8,Entity,UML,2,,,,,,,,car,
9,Attribute,UML,2,,,,,,,,id,
10,Attribute,UML,2,,,,,,,,model,
11,Attribute,UML,2,,,,,,,,brand,
12,Attribute,UML,2,,,,,,,,status,
13,Attribute,UML,2,,,,,,,,original_price,
14,Attribute,UML,2,,,,,,,,user_id,
15,Attribute,UML,2,,,,,,,,availability,
16,Attribute,UML,2,,,,,,,,date,
17,Entity,UML,2,,,,,,,,message,
18,Attribute,UML,2,,,,,,,,id,
19,Attribute,UML,2,,,,,,,,message,
20,Attribute,UML,2,,,,,,,,date,
21,Attribute,UML,2,,,,,,,,customer_id,
22,Attribute,UML,2,,,,,,,,seller_id,
23,Attribute,UML,2,,,,,,,,car_id,
24,Entity,UML,2,,,,,,,,seller,
25,Attribute,UML,2,,,,,,,,name,
26,Attribute,UML,2,,,,,,,,id,
27,Attribute,UML,2,,,,,,,,phone,
28,Attribute,UML,2,,,,,,,,user_id,
29,Entity,UML,2,,,,,,,,car_request,
30,Attribute,UML,2,,,,,,,,id,
31,Attribute,UML,2,,,,,,,,request_type,
32,Attribute,UML,2,,,,,,,,date,
33,Attribute,UML,2,,,,,,,,customer_id,
34,Attribute,UML,2,,,,,,,,seller_id,
35,Attribute,UML,2,,,,,,,,car_id,
36,Attribute,UML,2,,,,,,,,status,
37,Relationship,UML,2,,,,,,,,receives,
38,Relationship,UML,2,,,,,,,,receives,
39,Relationship,UML,2,,,,,,,,has,
40,Relationship,UML,2,,,,,,,,is,
41,Line,,2,,,29,38,CFN ERD Many Arrow,None,,,
42,Line,,2,,,29,31,None,None,,,
43,Line,,2,,,29,32,None,None,,,
44,Line,,2,,,29,35,None,None,,,
45,Line,,2,,,29,36,None,None,,,
46,Line,,2,,,29,30,None,None,,,
47,Line,,2,,,29,34,None,None,,,
48,Line,,2,,,29,33,None,None,,,
49,Line,,2,,,3,5,None,None,,,
50,Line,,2,,,3,7,None,None,,,
51,Line,,2,,,3,4,None,None,,,
52,Line,,2,,,3,6,None,None,,,
53,Line,,2,,,38,3,None,CFN ERD One Arrow,,,
54,Line,,2,,,3,39,CFN ERD One Arrow,None,,,
55,Line,,2,,,37,3,None,CFN ERD One Arrow,,,
56,Line,,2,,,3,40,CFN ERD One Arrow,None,,,
57,Line,,2,,,17,23,None,None,,,
58,Line,,2,,,17,20,None,None,,,
59,Line,,2,,,17,18,None,None,,,
60,Line,,2,,,17,19,None,None,,,
61,Line,,2,,,17,21,None,None,,,
62,Line,,2,,,17,22,None,None,,,
63,Line,,2,,,17,37,CFN ERD Many Arrow,None,,,
64,Line,,2,,,40,24,None,CFN ERD One Arrow,,,
65,Line,,2,,,24,26,None,None,,,
66,Line,,2,,,24,28,None,None,,,
67,Line,,2,,,24,25,None,None,,,
68,Line,,2,,,24,27,None,None,,,
69,Line,,2,,,39,8,None,CFN ERD Many Arrow,,,
70,Line,,2,,,8,14,None,None,,,
71,Line,,2,,,8,16,None,None,,,
72,Line,,2,,,8,10,None,None,,,
73,Line,,2,,,8,11,None,None,,,
74,Line,,2,,,8,12,None,None,,,
75,Line,,2,,,8,9,None,None,,,
76,Line,,2,,,8,15,None,None,,,
77,Line,,2,,,8,13,None,None,,,